0:0:0:0:0:0:0:1 - - [28/May/2017:13:28:22 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:28:22 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:28:22 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:28:22 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:28:22 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:29:34 +0530] "GET /project1/aboutus HTTP/1.1" 200 12484
0:0:0:0:0:0:0:1 - - [28/May/2017:13:29:34 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:29:34 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:29:34 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:29:34 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:29:34 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:30:43 +0530] "GET /project1/aboutus HTTP/1.1" 200 12475
0:0:0:0:0:0:0:1 - - [28/May/2017:13:30:43 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:30:44 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:30:44 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:30:44 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:32 +0530] "GET /project1/aboutus HTTP/1.1" 200 12474
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:32 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:32 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:32 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:32 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/homePage HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 74785
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/images/cy6.jpg HTTP/1.1" 200 62686
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:49 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:57 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 6776
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:57 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:57 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:58 +0530] "GET /project1/resources/images/5.png HTTP/1.1" 200 62686
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:58 +0530] "GET /project1/resources/images/1.png HTTP/1.1" 200 60626
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:58 +0530] "GET /project1/resources/images/6.png HTTP/1.1" 200 95216
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:58 +0530] "GET /project1/resources/images/2.png HTTP/1.1" 200 200538
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:58 +0530] "GET /project1/resources/images/3.png HTTP/1.1" 200 49183
0:0:0:0:0:0:0:1 - - [28/May/2017:13:33:58 +0530] "GET /project1/resources/images/4.png HTTP/1.1" 200 132499
0:0:0:0:0:0:0:1 - - [28/May/2017:13:34:16 +0530] "GET /project1/aboutus HTTP/1.1" 200 12474
0:0:0:0:0:0:0:1 - - [28/May/2017:13:34:16 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:34:16 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:34:16 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:34:16 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:36:32 +0530] "GET /project1/aboutus HTTP/1.1" 200 12446
0:0:0:0:0:0:0:1 - - [28/May/2017:13:36:32 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:36:32 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:36:32 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:36:32 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:37:56 +0530] "GET /project1/aboutus HTTP/1.1" 200 12431
0:0:0:0:0:0:0:1 - - [28/May/2017:13:37:56 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:37:57 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:37:57 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:37:57 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:38:28 +0530] "GET /w3css/default.asp HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/May/2017:13:41:59 +0530] "GET /project1/aboutus HTTP/1.1" 200 11991
0:0:0:0:0:0:0:1 - - [28/May/2017:13:42:00 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:42:00 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:42:00 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:42:00 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:03 +0530] "GET /project1/aboutus HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:03 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:03 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:04 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:04 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:59 +0530] "GET /project1/aboutus HTTP/1.1" 200 11129
0:0:0:0:0:0:0:1 - - [28/May/2017:13:44:59 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
