0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/10.png HTTP/1.1" 200 551754
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/12.png HTTP/1.1" 200 190998
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/11.png HTTP/1.1" 200 200538
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/13.png HTTP/1.1" 200 231060
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/15.png HTTP/1.1" 200 31117
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/16.png HTTP/1.1" 200 220580
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/14.png HTTP/1.1" 200 150626
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/17.png HTTP/1.1" 200 95955
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/18.png HTTP/1.1" 200 219212
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:14 +0530] "GET /project1/cart/ViewCart HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:15 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:15 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
